"B11001_001E","B11001_001M","B11001_002E","B11001_002M","B11001_003E","B11001_003M","B11001_004E","B11001_004M","B11001_005E","B11001_005M","B11001_006E","B11001_006M","B11001_007E","B11001_007M","B11001_008E","B11001_008M","B11001_009E","B11001_009M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Family households:","Margin of Error!!Total:!!Family households:","Estimate!!Total:!!Family households:!!Married-couple family","Margin of Error!!Total:!!Family households:!!Married-couple family","Estimate!!Total:!!Family households:!!Other family:","Margin of Error!!Total:!!Family households:!!Other family:","Estimate!!Total:!!Family households:!!Other family:!!Male householder, no spouse present","Margin of Error!!Total:!!Family households:!!Other family:!!Male householder, no spouse present","Estimate!!Total:!!Family households:!!Other family:!!Female householder, no spouse present","Margin of Error!!Total:!!Family households:!!Other family:!!Female householder, no spouse present","Estimate!!Total:!!Nonfamily households:","Margin of Error!!Total:!!Nonfamily households:","Estimate!!Total:!!Nonfamily households:!!Householder living alone","Margin of Error!!Total:!!Nonfamily households:!!Householder living alone","Estimate!!Total:!!Nonfamily households:!!Householder not living alone","Margin of Error!!Total:!!Nonfamily households:!!Householder not living alone","id","Geographic Area Name"
"1464","96","509","93","437","90","72","31","31","22","41","28","955","117","624","132","331","106","1400000US33015069200","Census Tract 692, Rockingham County, New Hampshire"
"1042","82","509","87","463","91","46","33","8","13","38","30","533","113","354","103","179","80","1400000US33015069300","Census Tract 693, Rockingham County, New Hampshire"
"1395","110","828","96","725","93","103","43","42","28","61","32","567","100","358","81","209","83","1400000US33015069700","Census Tract 697, Rockingham County, New Hampshire"
"2364","153","1595","133","1366","141","229","93","115","85","114","71","769","215","583","194","186","130","1400000US33015071000","Census Tract 710, Rockingham County, New Hampshire"
"2496","133","1641","165","1548","174","93","62","17","27","76","57","855","167","820","166","35","40","1400000US33015100100","Census Tract 1001, Rockingham County, New Hampshire"
"2161","103","1667","130","1324","174","343","127","34","43","309","124","494","120","405","113","89","64","1400000US33015100200","Census Tract 1002, Rockingham County, New Hampshire"
"1753","103","1209","131","967","146","242","84","114","53","128","64","544","121","352","107","192","93","1400000US33015100301","Census Tract 1003.01, Rockingham County, New Hampshire"
"1862","112","1258","146","1062","140","196","95","74","70","122","67","604","154","530","146","74","41","1400000US33015100302","Census Tract 1003.02, Rockingham County, New Hampshire"
"3264","150","2097","210","1557","192","540","166","138","99","402","141","1167","204","1040","209","127","77","1400000US33015100400","Census Tract 1004, Rockingham County, New Hampshire"
"3119","164","2155","157","1591","231","564","181","157","102","407","190","964","224","774","204","190","107","1400000US33015101100","Census Tract 1011, Rockingham County, New Hampshire"
"1853","107","1358","86","1098","107","260","93","145","75","115","54","495","121","355","103","140","58","1400000US33015102100","Census Tract 1021, Rockingham County, New Hampshire"
